id,name,gender,yearOfBirth,birthCity,birthState,yearOfDeath,deathCity,deathState,url
376,"Menpes, Mortimer",None,1855,Port Adelaide,Australia,1939,Unknown,Unknown,http://www.tate.org.uk/art/artists/mortimer-menpes-376
377,"Mercier, Philip",None,1689,Berlin,Deutschland,1760,London,United Kingdom,http://www.tate.org.uk/art/artists/philip-mercier-377
2538,"Merivale, Francis",None,0,Unknown,Unknown,0,Unknown,Unknown,http://www.tate.org.uk/art/artists/francis-merivale-2538
378,"Merritt, Anna Lea",None,1844,Philadelphia,United States,1930,Hurstbourne Tarrant,United Kingdom,http://www.tate.org.uk/art/artists/anna-lea-merritt-378
1623,"Merz, Mario",None,1925,Milano,Italia,2003,Milano,Italia,http://www.tate.org.uk/art/artists/mario-merz-1623
12525,"Merz, Marisa",None,1931,Torino,Italia,0,Unknown,Unknown,http://www.tate.org.uk/art/artists/marisa-merz-12525
1624,"Mesens, E.L.T.",None,1903,Bruxelles,België,1971,London,United Kingdom,http://www.tate.org.uk/art/artists/elt-mesens-1624
2670,"Messager, Annette",None,1943,Berck,France,0,Unknown,Unknown,http://www.tate.org.uk/art/artists/annette-messager-2670
1626,"Methuen, Lord",None,1886,Corsham,United Kingdom,1974,Unknown,Unknown,http://www.tate.org.uk/art/artists/lord-methuen-1626
7196,"Metzger, Gustav",None,1926,Noremburg,Deutschland,0,Unknown,Unknown,http://www.tate.org.uk/art/artists/gustav-metzger-7196
1627,"Metzinger, Jean",None,1883,Nantes,France,1956,Paris,France,http://www.tate.org.uk/art/artists/jean-metzinger-1627
4547,"Meyer, Bill",None,1942,Melbourne,Australia,0,Unknown,Unknown,http://www.tate.org.uk/art/artists/bill-meyer-4547
6872,"Meyer, Klaus",None,1918,Berlin,Deutschland,2002,Unknown,Unknown,http://www.tate.org.uk/art/artists/klaus-meyer-6872
9059,"Michael, Alan",None,1967,Glasgow,United Kingdom,0,Unknown,Unknown,http://www.tate.org.uk/art/artists/alan-michael-9059
1628,"Michaux, Henri",None,1899,Namur,België,1984,Unknown,Unknown,http://www.tate.org.uk/art/artists/henri-michaux-1628
1629,"Michell, Keith",None,1928,Unknown,Unknown,0,Unknown,Unknown,http://www.tate.org.uk/art/artists/keith-michell-1629
2706,"Michelmore, Richard",None,1928,Unknown,Unknown,2005,Unknown,Unknown,http://www.tate.org.uk/art/artists/richard-michelmore-2706
1630,"Middleditch, Edward",None,1923,Chelmsford,United Kingdom,1987,Unknown,Unknown,http://www.tate.org.uk/art/artists/edward-middleditch-1630
5975,"Mikhailov, Boris",None,1938,Kharkov,Ukrayina,0,Unknown,Unknown,http://www.tate.org.uk/art/artists/boris-mikhailov-5975
379,"Millais, Sir John Everett, Bt",None,1829,Southampton,United Kingdom,1896,London,United Kingdom,http://www.tate.org.uk/art/artists/sir-john-everett-millais-bt-379
1631,"Millares, Manolo",None,1926,Las Palmas de Gran Canaria,España,1972,Madrid,España,http://www.tate.org.uk/art/artists/manolo-millares-1631
1632,"Miller, Godfrey",None,1893,Wellington,New Zealand,1964,Sydney,Australia,http://www.tate.org.uk/art/artists/godfrey-miller-1632
12117,"Miller, Harland",None,1964,Yorkshire,United Kingdom,0,Unknown,Unknown,http://www.tate.org.uk/art/artists/harland-miller-12117
2195,"Miller, Jack",None,1935,Edinburgh,United Kingdom,2004,Unknown,Unknown,http://www.tate.org.uk/art/artists/jack-miller-2195
2561,"Miller, James",None,1773,Unknown,Unknown,1791,Unknown,Unknown,http://www.tate.org.uk/art/artists/james-miller-2561
1633,"Milles, Carl",None,1875,Lagan,Sverige,1955,Lidingö,Sverige,http://www.tate.org.uk/art/artists/carl-milles-1633
1634,"Millet, Francis Davis",None,1846,Mattapoisett,United States,1912,Unknown,Unknown,http://www.tate.org.uk/art/artists/francis-davis-millet-1634
2624,"Millington, Professor",None,1700,Unknown,Unknown,1799,Unknown,Unknown,http://www.tate.org.uk/art/artists/professor-millington-2624
1635,"Millington, Terence",None,1942,Birmingham,United Kingdom,0,Unknown,Unknown,http://www.tate.org.uk/art/artists/terence-millington-1635
380,"Millner, William Edwards",None,1849,Unknown,Unknown,1895,Unknown,Unknown,http://www.tate.org.uk/art/artists/william-edwards-millner-380
1636,"Milne, John",None,1931,Lancashire,United Kingdom,1978,Unknown,Unknown,http://www.tate.org.uk/art/artists/john-milne-1636
1637,"Milne, Malcolm",None,1887,England,United Kingdom,1954,Oxford,Unknown,http://www.tate.org.uk/art/artists/malcolm-milne-1637
1638,"Milow, Keith",None,1945,London,United Kingdom,0,Unknown,Unknown,http://www.tate.org.uk/art/artists/keith-milow-1638
2220,"Milroy, Lisa",None,1959,Vancouver,Canada,0,Unknown,Unknown,http://www.tate.org.uk/art/artists/lisa-milroy-2220
1639,"Milton, Peter",None,1930,Montgomery,United States,0,Unknown,Unknown,http://www.tate.org.uk/art/artists/peter-milton-1639
1640,"Minami, Keiko",None,1911,Nihon,Unknown,2004,Nihon,Unknown,http://www.tate.org.uk/art/artists/keiko-minami-1640
